Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.1885965023,3.64391710092,0.0,0.0,4.58992532963,8.1892,67.5884683395,57.3232624933,3.33988,6.92532584622
 01/01  02:00:00,14.764410287,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7761760102,0.0,0.0,0.0,1.52997510988,7.4902,3.93196153182,0.0,3.33988,0.592081531817
 01/01  04:00:00,14.7881319836,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9454705268,0.0,0.0,0.0,1.52997510988,7.4902,3.93196741536,0.0,3.33988,0.592087415355
 01/01  06:00:00,22.3458462305,3.64391710092,0.0,0.0,4.58992532963,8.1892,64.0805896504,55.7108896504,8.3497,0.02
 01/01  07:00:00,38.3013341342,3.64391710092,0.0107581907233,0.0,9.17985065927,19.4245,74.9647635412,53.6529882139,16.6994,4.61237532732
 01/01  08:00:00,45.7548489756,3.64391710092,0.00877323495475,0.0,9.17985065927,26.9147,76.6731484206,47.5850012529,25.0491,4.03904716777
 01/01  09:00:00,41.5117729403,3.64391710092,0.0,0.0,9.17985065927,26.9147,88.3977837133,50.3861791163,33.3988,4.61280459708
 01/01  10:00:00,34.0308458624,3.64391710092,0.0,0.0,9.17985065927,19.4245,82.7408684085,53.6532882745,25.0491,4.03848013398
 01/01  11:00:00,41.5409066734,3.64391710092,0.00531388213566,0.0,9.17985065927,26.9147,102.780716855,47.1061946933,41.7485,13.9260221616
 01/01  12:00:00,42.2899910126,3.64391710092,0.0,0.0,9.17985065927,26.9147,92.5926152136,36.9178969891,41.7485,13.9262182245
 01/01  13:00:00,41.621181627,3.64391710092,0.0,0.0,9.17985065927,26.9147,78.7896948022,25.4643110743,41.7485,11.5768837279
 01/01  14:00:00,34.1024688948,3.64391710092,0.0,0.0,9.17985065927,19.4245,69.1364283901,24.7373072807,33.3988,11.0003211094
 01/01  15:00:00,34.0995732872,3.64391710092,0.0,0.0,9.17985065927,19.4245,64.3693782802,30.6545848551,25.0491,8.6656934251
