Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.2594347747,3.70551331767,0.0,0.0,4.58992532963,8.1892,66.8739854366,56.6093635587,3.33988,6.92474187791
 01/01  02:00:00,14.7337828451,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7607329743,0.0,0.0,0.0,1.52997510988,7.4902,3.93196196246,0.0,3.33988,0.592081962462
 01/01  04:00:00,14.7738656462,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.9260131325,0.0,0.0,0.0,1.52997510988,7.4902,3.93196785015,0.0,3.33988,0.592087850146
 01/01  06:00:00,22.3910817788,3.70551331767,0.0,0.0,4.58992532963,8.1892,66.7340809105,58.3643809105,8.3497,0.02
 01/01  07:00:00,38.3552110413,3.70551331767,0.0128343328522,0.0,9.17985065927,19.4245,75.170030054,53.8582518697,16.6994,4.61237818428
 01/01  08:00:00,45.8222976662,3.70551331767,0.0110292079858,0.0,9.17985065927,26.9147,71.4162878992,42.3285369313,25.0491,4.03865096786
 01/01  09:00:00,41.5984039158,3.70551331767,0.00321246112987,0.0,9.17985065927,26.9147,76.8081751207,38.7965650544,33.3988,4.61281006634
 01/01  10:00:00,34.1040232558,3.70551331767,0.0,0.0,9.17985065927,19.4245,76.3515774702,47.2642419562,25.0491,4.03823551397
 01/01  11:00:00,41.6001810913,3.70551331767,0.0120542802698,0.0,9.17985065927,26.9147,105.621126494,49.9446627229,41.7485,13.9279637709
 01/01  12:00:00,42.3314540519,3.70551331767,0.0,0.0,9.17985065927,26.9147,104.797926124,49.121811952,41.7485,13.9276141721
 01/01  13:00:00,41.6363676887,3.70551331767,0.0,0.0,9.17985065927,26.9147,97.9171808691,44.5918858155,41.7485,11.5767950536
 01/01  14:00:00,34.1141884943,3.70551331767,0.0,0.0,9.17985065927,19.4245,90.1958782597,45.7968462577,33.3988,11.000232002
 01/01  15:00:00,34.1159963656,3.70551331767,0.0,0.0,9.17985065927,19.4245,83.792580617,50.0791128931,25.0491,8.66436772394
 01/01  16:00:00,34.0999190278,3.70551331767,0.0,0.0,9.17985065927,19.4245,93.8064742491,52.320239212,33.3988,8.08743503716
 01/01  17:00:00,44.7034023767,3.70551331767,0.0108460381717,0.0,9.17985065927,26.9147,111.268792576,52.5061049475,50.0982,8.66448762853
 01/01  18:00:00,45.7612620816,3.70551331767,0.00309386326388,0.0,9.17985065927,26.9147,112.889595212,51.7930810847,50.0982,10.9983141272
 01/01  19:00:00,45.7639137874,3.70551331767,0.0,0.0,9.17985065927,26.9147,111.408831281,47.3846864302,50.0982,13.9259448506
 01/01  20:00:00,38.409160974,3.70551331767,0.0,0.0,9.17985065927,19.4245,94.063752035,46.7393212527,33.3988,13.9256307823
 01/01  21:00:00,38.3916273187,3.70551331767,0.0,0.0,9.17985065927,19.4245,89.8572826027,45.4609313632,33.3988,10.9975512395
 01/01  22:00:00,38.3189162755,3.70551331767,0.0,0.0,9.17985065927,19.4245,91.8328752126,52.8547376604,25.0491,13.9290375522
 01/01  23:00:00,38.2207546181,3.70551331767,0.0,0.0,9.17985065927,19.4245,79.3877909074,51.1104449821,16.6994,11.5779459253
 01/01  24:00:00,39.0137938417,3.70551331767,0.0,0.0,9.17985065927,19.4245,59.7243365665,45.6063935502,8.3497,5.76824301627
 01/02  01:00:00,22.2991897888,3.70551331767,0.0,0.0,4.58992532963,8.1892,57.9212567338,48.8124866462,3.33988,5.76889008763
 01/02  02:00:00,14.7655909258,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  03:00:00,14.7869594832,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.7997256067,0.0,0.0,0.0,1.52997510988,7.4902,3.93196859616,0.0,3.33988,0.592088596162
 01/02  05:00:00,14.9570122749,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.4265058632,3.70551331767,0.0,0.0,4.58992532963,8.1892,58.4797600142,49.5379655426,8.3497,0.592094471571
 01/02  07:00:00,38.3928550469,3.70551331767,0.0154011476268,0.0,9.17985065927,19.4245,65.2386955242,44.5012504011,16.6994,4.03804512309
 01/02  08:00:00,45.8759023592,3.70551331767,0.0203340680275,0.0,9.17985065927,26.9147,75.3748968245,33.4613848905,25.0491,16.864411934
 01/02  09:00:00,41.6443808065,3.70551331767,0.00431874703301,0.0,9.17985065927,26.9147,79.2230335732,30.7221773619,33.3988,15.1020562113
 01/02  10:00:00,34.1611579156,3.70551331767,0.0,0.0,9.17985065927,19.4245,66.9216005626,29.1225961861,25.0491,12.7499043765
 01/02  11:00:00,41.6689487067,3.70551331767,0.00491210336416,0.0,9.17985065927,26.9147,79.2420673354,26.4945230894,41.7485,10.999044246
 01/02  12:00:00,42.4009660998,3.70551331767,0.0,0.0,9.17985065927,26.9147,69.011082737,14.5128750113,41.7485,12.7497077257
 01/02  13:00:00,41.7371013861,3.70551331767,0.0,0.0,9.17985065927,26.9147,58.5610076152,5.81525960245,41.7485,10.9972480128
 01/02  14:00:00,34.2199554114,3.70551331767,0.0,0.0,9.17985065927,19.4245,49.991721211,6.762989314,33.3988,9.82993189695
 01/02  15:00:00,34.2221238767,3.70551331767,0.0,0.0,9.17985065927,19.4245,45.4375021396,11.7222188995,25.0491,8.6661832401
 01/02  16:00:00,34.2072948778,3.70551331767,0.0,0.0,9.17985065927,19.4245,57.8984958211,15.8342501102,33.3988,8.66544571093
 01/02  17:00:00,44.8076647332,3.70551331767,0.010970769115,0.0,9.17985065927,26.9147,74.7893448139,16.6031032381,50.0982,8.08804157589
 01/02  18:00:00,45.8543070293,3.70551331767,0.0,0.0,9.17985065927,26.9147,77.588351032,15.9123004209,50.0982,11.5778506111
 01/02  19:00:00,45.8448120736,3.70551331767,0.0,0.0,9.17985065927,26.9147,81.9610897612,16.7601599514,50.0982,15.1027298098
 01/02  20:00:00,38.4803117238,3.70551331767,0.0,0.0,9.17985065927,19.4245,71.4319323728,21.1647973563,33.3988,16.8683350165
 01/02  21:00:00,38.461904543,3.70551331767,0.0,0.0,9.17985065927,19.4245,68.3031947187,20.9841045566,33.3988,13.9202901621
 01/02  22:00:00,38.3944190919,3.70551331767,0.0,0.0,9.17985065927,19.4245,65.2769418868,25.1244404013,25.0491,15.1034014855
 01/02  23:00:00,38.289886696,3.70551331767,0.0,0.0,9.17985065927,19.4245,56.6798214534,27.230164281,16.6994,12.7502571724
 01/02  24:00:00,39.0452625201,3.70551331767,0.0,0.0,9.17985065927,19.4245,46.0414183198,30.7661598046,8.3497,6.92555851524
 01/03  01:00:00,22.3236076843,3.70551331767,0.0,0.0,4.58992532963,8.1892,49.8313253242,40.7221241008,3.33988,5.76932122336
 01/03  02:00:00,14.780605159,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.8046350317,0.0,0.0,0.0,1.52997510988,7.4902,3.93195300275,0.0,3.33988,0.592073002746
 01/03  04:00:00,14.8099933141,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.4687655714,0.0,0.0,0.0,1.52997510988,7.4902,3.93195890224,0.0,3.33988,0.592078902237
 01/03  06:00:00,22.9335274864,3.70551331767,0.0,0.0,4.58992532963,8.1892,56.7878591394,48.4181591394,8.3497,0.02
 01/03  07:00:00,38.6094542223,3.70551331767,0.0111046734105,0.0,9.17985065927,19.4245,65.2482156039,43.9360368031,16.6994,4.61277880078
 01/03  08:00:00,45.8574802537,3.70551331767,0.01755966428,0.0,9.17985065927,26.9147,76.7011827821,35.3655557399,25.0491,16.2865270422
 01/03  09:00:00,41.6306024514,3.70551331767,0.00389467268096,0.0,9.17985065927,26.9147,80.949810414,31.8664800327,33.3988,15.6845303813
 01/03  10:00:00,34.1463311381,3.70551331767,0.0,0.0,9.17985065927,19.4245,68.4501784321,31.2301558072,25.0491,12.1709226249
 01/03  11:00:00,41.6427792211,3.70551331767,0.0101531525568,0.0,9.17985065927,26.9147,87.0416868421,33.7152328695,41.7485,11.5779539726
 01/03  12:00:00,42.3554908551,3.70551331767,0.0,0.0,9.17985065927,26.9147,80.8439288403,26.9259458522,41.7485,12.1694829882
 01/03  13:00:00,41.6846011624,3.70551331767,0.0,0.0,9.17985065927,26.9147,72.9225770974,19.5969415813,41.7485,11.5771355161
