Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,749.843766374,95.2893542894,378.463028256,0.0,34.9616554283,113.312780494,634.75403733,620.359995323,5.66466996096,8.72937204612
 01/01  02:00:00,770.888868451,95.2893542894,410.095457358,0.0,34.9616554283,113.312780494,645.465073813,622.363432194,5.66466996096,17.4369716582
 01/01  03:00:00,770.111239041,95.2893542894,407.329478404,0.0,34.9616554283,113.312780494,653.471029558,630.371756504,5.66466996096,17.4346030936
 01/01  04:00:00,772.93420382,95.2893542894,408.608962714,0.0,34.9616554283,113.312780494,666.480934201,643.377839533,5.66466996096,17.4384247064
 01/01  05:00:00,785.71514496,95.2893542894,415.334797921,0.0,44.4937663224,113.312780494,654.115998048,631.015410853,5.66466996096,17.4359172335
 01/01  06:00:00,786.491078493,95.2893542894,417.524399677,0.0,44.4937663224,113.312780494,647.438691264,624.549962132,14.1616749024,8.72705422965
 01/01  07:00:00,852.229941618,95.2893542894,412.412004533,0.0,54.0258772165,176.889270242,604.121272049,558.359400488,28.3233498048,17.4385217564
 01/01  08:00:00,835.911170514,95.2893542894,384.470888158,0.0,54.0258772165,184.38654557,612.841288702,552.920261012,42.4850247072,17.4360029823
 01/01  09:00:00,885.254475569,95.2893542894,362.659097888,0.0,65.1572554096,220.04316451,600.583904727,526.414628477,56.6466996096,17.5225766403
 01/01  10:00:00,888.917207724,95.2893542894,378.151431937,0.0,65.1572554096,212.545889182,581.444524392,512.552523559,42.4850247072,26.406976126
 01/01  11:00:00,913.869935986,95.2893542894,399.194749504,0.0,65.1572554096,220.04316451,596.841160818,490.650398159,70.808374512,35.3823881469
 01/01  12:00:00,927.074188049,95.2893542894,413.517812357,0.0,65.1572554096,220.04316451,578.822041217,472.643755809,70.808374512,35.3699108957
 01/01  13:00:00,930.634759253,95.2893542894,421.404557541,0.0,65.1572554096,220.04316451,563.194318182,465.843291322,70.808374512,26.5426523477
 01/01  14:00:00,927.154586673,95.2893542894,426.527937276,0.0,65.1572554096,212.545889182,552.534317069,460.51511528,56.6466996096,35.3725021795
 01/01  15:00:00,928.230279004,95.2893542894,427.929150061,0.0,65.1572554096,212.545889182,528.950467066,459.926480992,42.4850247072,26.5389613674
 01/01  16:00:00,929.104151591,95.2893542894,426.26043363,0.0,65.1572554096,212.545889182,568.360998888,476.339108619,56.6466996096,35.3751906595
