Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,175.795896757,30.9846629218,51.6567826869,0.0,34.4311606118,33.1021868926,177.209836643,42.5418301219,3.33212,131.335886521
 01/01  02:00:00,171.183268115,30.9846629218,46.9897189977,0.0,34.4311606118,33.1021868926,144.759658173,33.7347256855,3.33212,107.692812488
 01/01  03:00:00,148.796863847,30.9846629218,42.1210389957,0.0,19.466279405,30.610668775,132.729199973,28.0455718704,3.33212,101.351508102
 01/01  04:00:00,141.627502718,30.9846629218,34.9931219772,0.0,19.466279405,30.610668775,129.517400579,24.8347109284,3.33212,101.350569651
 01/01  05:00:00,150.434148602,30.9846629218,37.2086043039,0.0,19.466279405,30.610668775,163.595502454,22.5668446362,3.33212,137.696537817
 01/01  06:00:00,168.636439101,30.9846629218,43.1494519963,0.0,19.466279405,30.610668775,198.632031642,20.679585288,8.3303,169.622146354
 01/01  07:00:00,250.884499357,33.3152284459,51.5884450571,0.0,42.6918050922,54.3732441037,273.886218557,19.5619600138,16.6606,237.663658543
 01/01  08:00:00,329.839212472,35.6581216289,73.8902089633,0.0,49.3960418185,88.5934452969,541.376612747,112.997169453,24.9909,403.388543294
 01/01  09:00:00,375.227931186,35.64579397,101.301249175,0.0,57.6566862989,112.030105488,750.300554726,147.030133457,33.3212,569.949221269
 01/01  10:00:00,303.423863958,36.0476981392,88.0864981402,0.0,50.9524495726,81.1684271793,621.614977574,145.202398442,66.8089,409.603679132
 01/01  11:00:00,254.749905475,36.2390502648,84.2355240164,0.0,42.6918050922,68.9656133826,539.292109202,140.939285274,83.4695,314.883323928
 01/01  12:00:00,261.647606261,36.3400785891,95.3460017986,0.0,38.286128036,68.9656133826,417.609126201,87.5820219643,83.4695,246.557604237
 01/01  13:00:00,254.704395217,36.3782040248,89.6431368677,0.0,38.286128036,68.9656133826,318.902455919,56.1084809854,83.4695,179.324474933
 01/01  14:00:00,235.129891924,36.4088135779,89.0332407455,0.0,31.5818913096,56.727595265,317.694743183,61.7657527198,75.1392,180.789790463
 01/01  15:00:00,225.702490036,36.4354196266,79.6225742268,0.0,31.5818913096,56.727595265,319.354221291,75.2602262849,66.8089,177.285095006
 01/01  16:00:00,207.883875709,36.4570505646,61.7512078037,0.0,31.5818913096,56.727595265,371.682223338,117.796726154,75.1392,178.746297184
 01/01  17:00:00,242.083306348,36.1595938703,52.7323955658,0.0,31.5818913096,61.661095265,407.747187377,177.911754381,91.7998,138.035632996
 01/01  18:00:00,278.033817526,35.64579397,58.3456005937,0.0,31.5818913096,70.9729253606,409.9087534,189.028972864,49.9818,170.897980535
