Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,78.5946848238,22.599014943,11.1141826,5.18658577077,4.12243109448,15.9888894789,96.3694989285,93.3777685107,2.97173041782,0.02
 01/02  02:00:00,75.7453510473,19.5617318454,9.04261253701,8.30600551956,4.12243109448,15.9888894789,82.6518517333,79.6601213155,2.97173041782,0.02
 01/02  03:00:00,82.4828571024,23.4677186264,12.1614373191,7.55309692028,4.12243109448,15.9888894789,103.959977531,100.968247113,2.97173041782,0.02
 01/02  04:00:00,78.4028615448,19.5617318454,10.0780271426,10.4456100664,4.12243109448,15.9888894789,84.1479132612,81.1561828434,2.97173041782,0.02
 01/02  05:00:00,107.136198438,27.8112370431,15.0010004657,6.66630921111,12.3672932834,24.9413748627,119.032740357,114.059856328,4.9528840297,0.02
 01/02  06:00:00,143.480246706,28.2750216441,18.337955879,39.374737739,12.3672932834,24.9413748627,185.17581711,180.20293308,4.9528840297,0.02
 01/02  07:00:00,191.394741767,28.7630375942,18.7599314005,28.5105483695,24.7345865669,70.7195625826,150.173423383,140.247655324,9.90576805939,0.02
 01/02  08:00:00,214.261662349,28.8496020951,18.7608742871,20.332944682,37.1018798503,92.3937384068,130.851743029,120.925974969,9.90576805939,0.02
 01/02  09:00:00,210.572685085,28.8926471894,18.7653779363,18.1943699777,37.1018798503,104.434947198,125.752699568,115.826931509,9.90576805939,0.02
 01/02  10:00:00,218.971370045,28.9258945072,19.028997083,16.7583221322,37.1018798503,116.476155989,131.563037349,113.027427027,9.90576805939,8.62984226231
 01/02  11:00:00,218.233282494,28.9597324355,20.0992872479,14.9154997004,37.1018798503,116.476155989,120.116530378,110.190762319,9.90576805939,0.02
 01/02  12:00:00,217.619952685,28.9869353888,20.9781687514,13.3958285487,37.1018798503,116.476155989,126.308364577,107.766005012,9.90576805939,8.63659150552
 01/02  13:00:00,203.721248974,29.0236657362,21.4669861965,11.0134180192,37.1018798503,104.434947198,114.609911709,104.684143649,9.90576805939,0.02
 01/02  14:00:00,213.392674757,29.0881331916,21.6821732826,8.36334652786,37.1018798503,116.476155989,119.314471463,100.772055676,9.90576805939,8.63664772793
 01/02  15:00:00,211.652094829,29.1431446664,21.6017585635,6.64842690226,37.1018798503,116.476155989,107.7717103,97.8459422401,9.90576805939,0.02
 01/02  16:00:00,211.670817857,29.149358195,21.3965961799,6.86627217082,37.1018798503,116.476155989,117.084559106,98.5455778945,9.90576805939,8.63321315248
 01/02  17:00:00,223.653009625,29.1480452291,20.9479859042,7.55319318863,37.1018798503,116.476155989,109.70633334,99.7805652808,9.90576805939,0.02
 01/02  18:00:00,225.0798154,29.1454577437,19.2969967308,8.28555840872,37.1018798503,116.476155989,110.38939476,100.4636267,9.90576805939,0.02
 01/02  19:00:00,129.539524677,27.3737054074,14.915558015,0.0,24.7345865669,47.5788473902,94.2375622994,80.6754977456,4.9528840297,8.60918052409
 01/02  20:00:00,130.191968723,27.6653931645,14.0811758142,0.0560790820559,24.7345865669,47.5788473902,91.556959813,86.5840757833,4.9528840297,0.02
 01/02  21:00:00,107.887724516,26.498642136,14.0856065123,0.224799785331,12.3672932834,38.6892022431,104.260563454,101.268833036,2.97173041782,0.02
 01/02  22:00:00,90.7582334219,21.292779624,11.3579541619,1.57415429432,12.3672932834,27.0668015668,87.3841894911,84.3924590733,2.97173041782,0.02
 01/02  23:00:00,63.9482554033,17.3740736669,9.90419422118,0.0,4.12243109448,15.9888894789,79.2294594329,76.2377290151,2.97173041782,0.02
