Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.4177542254,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.4372928177,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.4231459281,0.0,0.0,0.0,15.863942322,29.242365,6.08850546293,0.0,3.20568,2.88282546293
 01/01  04:00:00,55.4204586115,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.6412283554,0.0,0.0,0.0,15.863942322,29.242365,6.08854563522,0.0,3.20568,2.88286563522
 01/01  06:00:00,55.6281961094,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  07:00:00,55.6378603102,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,55.5618418663,0.0,0.0,0.0,15.863942322,29.242365,6.08858600664,0.0,3.20568,2.88290600664
 01/01  09:00:00,48.4075513174,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  10:00:00,47.0035013311,0.0,0.0,0.0,15.863942322,29.242365,6.09021393826,0.0,3.20568,2.88453393826
 01/01  11:00:00,47.0053905048,0.0,0.0,0.0,15.863942322,29.242365,6.09004506847,0.0,3.20568,2.88436506847
 01/01  12:00:00,47.7090646786,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.0172858891,0.0,0.0,0.0,15.863942322,29.242365,6.09011501306,0.0,3.20568,2.88443501306
 01/01  14:00:00,47.0614928091,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,47.0729948136,0.0,0.0,0.0,15.863942322,29.242365,6.08854056152,0.0,3.20568,2.88286056152
 01/01  16:00:00,47.0531348003,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,54.0903582295,0.0,0.0,0.0,15.863942322,29.242365,6.08858133544,0.0,3.20568,2.88290133544
 01/01  18:00:00,55.5104358684,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
