Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.533092601,2.10386407264,0.0,0.0,1.85583932782,5.577,30.9472163032,25.6343523243,3.0011,2.31176397896
 01/01  02:00:00,9.59617989553,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.61053080919,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  04:00:00,9.62324971161,0.0,0.0,0.0,0.618613109274,5.0,3.59317965776,0.0,3.0011,0.592079657765
 01/01  05:00:00,9.78094940882,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  06:00:00,13.7066419475,2.10386407264,0.0,0.0,1.85583932782,5.577,30.1733173938,25.0795990558,4.50165,0.592068337986
 01/01  07:00:00,28.1740749962,2.10386407264,0.0,0.0,3.71167865564,18.077,35.0317304718,20.3614831023,13.50495,1.16529736955
 01/01  08:00:00,28.1185142945,2.10386407264,0.0,0.0,3.71167865564,18.077,42.9362683971,20.1904839201,21.0077,1.73808447704
 01/01  09:00:00,20.575300113,2.10386407264,0.0,0.0,3.71167865564,13.077,40.5359672123,23.7927968359,15.0055,1.73767037635
 01/01  10:00:00,20.5917579625,2.10386407264,0.0,0.0,3.71167865564,13.077,37.5672781796,21.3964696839,15.0055,1.16530849572
 01/01  11:00:00,25.6004799134,2.10386407264,0.0,0.0,3.71167865564,18.077,53.4080107856,15.7820859501,33.0121,4.61382483551
 01/01  12:00:00,26.7388894295,2.10386407264,0.0,0.0,3.71167865564,18.077,53.8787844165,9.32464807709,40.51485,4.03928633939
 01/01  13:00:00,25.8558833832,2.10386407264,0.0,0.0,3.71167865564,18.077,44.4414385005,4.39238711336,36.0132,4.03585138718
 01/01  14:00:00,25.6634797698,2.10386407264,0.0,0.0,3.71167865564,18.077,38.9933581261,4.01980574855,31.51155,3.46200237756
 01/01  15:00:00,20.6586968879,2.10386407264,0.0,0.0,3.71167865564,13.077,29.9703423519,6.64936522982,21.0077,2.3132771221
 01/01  16:00:00,20.633242338,2.10386407264,0.0,0.0,3.71167865564,13.077,32.4433187701,10.0492843829,19.50715,2.88688438725
 01/01  17:00:00,22.435642075,2.10386407264,0.0,0.0,3.71167865564,13.077,38.7332412532,13.3384843984,22.50825,2.8865068548
 01/01  18:00:00,28.0620066816,2.10386407264,0.0,0.0,3.71167865564,18.077,43.0608116527,14.0893048743,25.50935,3.46215677846
 01/01  19:00:00,28.0564875539,2.10386407264,0.0,0.0,3.71167865564,18.077,44.8476195886,14.7259504956,25.50935,4.61231909298
 01/01  20:00:00,28.1950158734,2.10386407264,0.0,0.0,3.71167865564,18.077,45.2701890896,15.7219594192,25.50935,4.03887967041
 01/01  21:00:00,23.178222004,2.10386407264,0.0,0.0,3.71167865564,13.077,42.7288026478,16.7582897899,22.50825,3.46226285785
 01/01  22:00:00,23.1011300958,2.10386407264,0.0,0.0,3.71167865564,13.077,44.6848771505,19.0634531258,21.0077,4.61372402473
 01/01  23:00:00,22.9803801936,2.10386407264,0.0,0.0,3.71167865564,13.077,45.743057266,24.274272094,18.0066,3.46218517204
 01/01  24:00:00,24.159782111,2.10386407264,0.0,0.0,3.71167865564,13.077,33.1887223564,28.4493675642,3.0011,1.73825479213
 01/02  01:00:00,13.6942227984,2.10386407264,0.0,0.0,1.85583932782,5.577,38.3107941352,32.9982581715,3.0011,2.31143596375
 01/02  02:00:00,9.54076385887,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  03:00:00,9.57841996659,0.0,0.0,0.0,0.618613109274,5.0,3.59318270505,0.0,3.0011,0.592082705047
 01/02  04:00:00,9.59976479019,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/02  05:00:00,9.75164149752,0.0,0.0,0.0,0.618613109274,5.0,3.59318860442,0.0,3.0011,0.592088604416
 01/02  06:00:00,13.6830768091,2.10386407264,0.0,0.0,1.85583932782,5.577,33.4600541992,28.9384041992,4.50165,0.02
 01/02  07:00:00,28.1579429274,2.10386407264,0.0,0.0,3.71167865564,18.077,37.0837240586,21.8409983003,13.50495,1.7377757583
 01/02  08:00:00,28.1144352916,2.10386407264,0.0,0.0,3.71167865564,18.077,43.8650515682,17.6661592892,21.0077,5.19119227897
 01/02  09:00:00,20.5853402559,2.10386407264,0.0,0.0,3.71167865564,13.077,38.7046223549,19.0854079373,15.0055,4.61371441762
 01/02  10:00:00,20.5973343305,2.10386407264,0.0,0.0,3.71167865564,13.077,38.2068220442,19.163935585,15.0055,4.03738645923
 01/02  11:00:00,25.6067421498,2.10386407264,0.0,0.0,3.71167865564,18.077,50.1304415995,13.6559278058,33.0121,3.46241379363
 01/02  12:00:00,26.7340118156,2.10386407264,0.0,0.0,3.71167865564,18.077,53.4838550118,8.93150248595,40.51485,4.03750252587
 01/02  13:00:00,25.8481133395,2.10386407264,0.0,0.0,3.71167865564,18.077,44.5329673493,5.05719668742,36.0132,3.4625706619
 01/02  14:00:00,25.6545155391,2.10386407264,0.0,0.0,3.71167865564,18.077,39.5404841528,4.56802031138,31.51155,3.46091384137
 01/02  15:00:00,20.6511777844,2.10386407264,0.0,0.0,3.71167865564,13.077,31.402831473,8.08242749449,21.0077,2.31270397851
 01/02  16:00:00,20.6332170122,2.10386407264,0.0,0.0,3.71167865564,13.077,33.3941417915,11.0001297903,19.50715,2.88686200114
 01/02  17:00:00,22.4438218151,2.10386407264,0.0,0.0,3.71167865564,13.077,37.2915611637,11.8967258686,22.50825,2.88658529509
 01/02  18:00:00,28.062054063,2.10386407264,0.0,0.0,3.71167865564,18.077,42.5796064821,13.6080705611,25.50935,3.46218592098
 01/02  19:00:00,28.0497538418,2.10386407264,0.0,0.0,3.71167865564,18.077,46.8346948083,16.7104739582,25.50935,4.6148708501
 01/02  20:00:00,28.1870897272,2.10386407264,0.0,0.0,3.71167865564,18.077,48.7361958711,18.0359545173,25.50935,5.19089135376
 01/02  21:00:00,23.173120685,2.10386407264,0.0,0.0,3.71167865564,13.077,45.8920213405,18.770588694,22.50825,4.61318264652
 01/02  22:00:00,23.102894763,2.10386407264,0.0,0.0,3.71167865564,13.077,45.3562813304,19.734076943,21.0077,4.61450438741
 01/02  23:00:00,23.0025386327,2.10386407264,0.0,0.0,3.71167865564,13.077,42.1768249918,20.1329048445,18.0066,4.03732014726
 01/02  24:00:00,24.1779721389,2.10386407264,0.0,0.0,3.71167865564,13.077,27.9332337334,22.6200818458,3.0011,2.31205188761
 01/03  01:00:00,13.7119894605,2.10386407264,0.0,0.0,1.85583932782,5.577,34.02384082,29.2845861763,3.0011,1.7381546437
 01/03  02:00:00,9.55559950379,0.0,0.0,0.0,0.618613109274,5.0,3.59319577892,0.0,3.0011,0.592095778918
 01/03  03:00:00,9.58168224982,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  04:00:00,9.59031463885,0.0,0.0,0.0,0.618613109274,5.0,3.59316292915,0.0,3.0011,0.592062929155
 01/03  05:00:00,10.2504175313,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/03  06:00:00,14.1815704054,2.10386407264,0.0,0.0,1.85583932782,5.577,37.647143506,32.5534246607,4.50165,0.592068845305
 01/03  07:00:00,28.3772141782,2.10386407264,0.0,0.0,3.71167865564,18.077,38.7163332838,24.0461872095,13.50495,1.16519607438
 01/03  08:00:00,28.1278577878,2.10386407264,0.0,0.0,3.71167865564,18.077,40.5184351452,14.3200686215,21.0077,5.19066652368
 01/03  09:00:00,20.6096878379,2.10386407264,0.0,0.0,3.71167865564,13.077,32.8435330124,12.6482213099,15.0055,5.1898117025
 01/03  10:00:00,20.6304794663,2.10386407264,0.0,0.0,3.71167865564,13.077,28.8050207057,9.8868264447,15.0055,3.91269426096
 01/03  11:00:00,25.6415816802,2.10386407264,0.0,0.0,3.71167865564,18.077,43.0492327475,6.45044778505,33.0121,3.58668496244
 01/03  12:00:00,26.7853890776,2.10386407264,0.0,0.0,3.71167865564,18.077,46.7528057917,2.20085513197,40.51485,4.03710065973
 01/03  13:00:00,25.9022295012,2.10386407264,0.0,0.0,3.71167865564,18.077,40.2881684253,0.81278596974,36.0132,3.46218245558
 01/03  14:00:00,25.6846077354,2.10386407264,0.0,0.0,3.71167865564,18.077,36.0926957915,1.69371866639,31.51155,2.88742712513
 01/03  15:00:00,20.6674066338,2.10386407264,0.0,0.0,3.71167865564,13.077,30.0801458249,6.18627989759,21.0077,2.88616592731
 01/03  16:00:00,20.6279023884,2.10386407264,0.0,0.0,3.71167865564,13.077,34.5718310897,12.1784542776,19.50715,2.88622681214
 01/03  17:00:00,22.4413247371,2.10386407264,0.0,0.0,3.71167865564,13.077,39.2621359829,14.4408276382,22.50825,2.31305834471
 01/03  18:00:00,28.0812241456,2.10386407264,0.0,0.0,3.71167865564,18.077,40.9580811036,11.4129038123,25.50935,4.03582729128
