Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,122.33625123,4.8041313782,0.0,0.0,43.513341876,52.539744,43.5912916564,38.7370316564,4.83426,0.02
 01/01  02:00:00,121.591806185,4.02596850044,0.0,0.0,43.513341876,52.539744,33.163020433,28.308760433,4.83426,0.02
 01/01  03:00:00,122.583995264,5.03246062556,0.0,0.0,43.513341876,52.539744,46.5105913382,41.6563313382,4.83426,0.02
 01/01  04:00:00,121.570845773,4.02596850044,0.0,0.0,43.513341876,52.539744,43.7625313914,38.9082713914,4.83426,0.02
 01/01  05:00:00,123.030214046,5.03246062556,0.0,0.0,43.513341876,52.539744,53.4135013075,48.5592413075,4.83426,0.02
 01/01  06:00:00,121.980132835,4.02596850044,0.0,0.0,43.513341876,52.539744,46.3851784168,32.9384616806,4.83426,8.61245673614
 01/01  07:00:00,123.014373373,5.03246062556,0.0,0.0,43.513341876,52.539744,48.6643689571,43.8101089571,4.83426,0.02
 01/01  08:00:00,121.836651174,4.02596850044,0.0,0.0,43.513341876,52.539744,35.6347398312,30.7804798312,4.83426,0.02
 01/01  09:00:00,107.894658816,5.03246062556,0.0,0.0,43.513341876,52.539744,45.3175143615,40.4632543615,4.83426,0.02
 01/01  10:00:00,103.934860218,4.02596850044,0.0,0.0,43.513341876,52.539744,38.6987282387,25.2446027116,4.83426,8.61986552708
 01/01  11:00:00,104.618095183,4.70924584929,0.0,0.0,43.513341876,52.539744,24.7092021028,19.8549421028,4.83426,0.02
 01/01  12:00:00,104.17309934,3.36111504976,0.0,0.0,43.513341876,52.539744,14.7815021272,9.92724212724,4.83426,0.02
 01/01  13:00:00,101.609315564,1.69319026043,0.0,0.0,43.513341876,52.539744,8.29132774825,3.43706774825,4.83426,0.02
 01/01  14:00:00,99.9971039462,0.0,0.0,0.0,43.513341876,52.539744,13.4541488911,0.0,4.83426,8.61988889109
 01/01  15:00:00,100.013140927,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  16:00:00,99.9667247744,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  17:00:00,114.683528281,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/01  18:00:00,119.327172385,1.67305596903,0.0,0.0,43.513341876,52.539744,15.9670741356,2.52110537173,4.83426,8.61170876386
 01/01  19:00:00,121.502122741,3.86436111231,0.0,0.0,43.513341876,52.539744,11.9065233942,7.05226339425,4.83426,0.02
 01/01  20:00:00,121.187783835,3.1327858024,0.0,0.0,43.513341876,52.539744,12.293758795,7.439498795,4.83426,0.02
 01/01  21:00:00,122.628228565,4.59593642223,0.0,0.0,43.513341876,52.539744,18.4181922887,13.5639322887,4.83426,0.02
 01/01  22:00:00,121.825452525,4.02596850044,0.0,0.0,43.513341876,52.539744,24.1901809705,19.3359209705,4.83426,0.02
 01/01  23:00:00,122.504766663,5.03246062556,0.0,0.0,43.513341876,52.539744,38.0871454382,33.2328854382,4.83426,0.02
 01/01  24:00:00,122.449128254,4.02596850044,0.0,0.0,43.513341876,52.539744,47.74044616,34.2936907195,4.83426,8.61249544048
 01/02  01:00:00,122.515461888,5.03246062556,0.0,0.0,43.513341876,52.539744,52.4608411883,47.6065811883,4.83426,0.02
 01/02  02:00:00,121.513901605,4.02596850044,0.0,0.0,43.513341876,52.539744,47.447742517,42.593482517,4.83426,0.02
 01/02  03:00:00,122.555169731,5.03246062556,0.0,0.0,43.513341876,52.539744,69.5901933278,56.1361569,4.83426,8.61977642771
 01/02  04:00:00,121.552216988,4.02596850044,0.0,0.0,43.513341876,52.539744,49.3788980209,44.5246380209,4.83426,0.02
 01/02  05:00:00,122.999130085,5.03246062556,0.0,0.0,43.513341876,52.539744,61.2656018505,56.4113418505,4.83426,0.02
 01/02  06:00:00,121.960216116,4.02596850044,0.0,0.0,43.513341876,52.539744,49.5650449344,44.7107849344,4.83426,0.02
 01/02  07:00:00,192.480516,71.3212455389,0.00142519245479,0.0,43.513341876,53.238744,1999.34761482,1985.89349203,4.83426,8.61986279325
 01/02  08:00:00,369.009359004,71.3212455389,0.0,0.0,220.879908,53.238744,1359.90674156,1334.24869096,4.83426,20.8237905978
 01/02  09:00:00,446.177729418,71.3212455389,0.00130473563576,0.0,220.879908,145.652643033,1113.64501009,1045.24976843,36.25695,32.1382916668
 01/02  10:00:00,443.081395242,71.3212455389,0.0,0.0,220.879908,145.652643033,1011.68045971,930.662493157,36.25695,44.7610165578
 01/02  11:00:00,448.719363483,71.3212455389,0.00106043081039,0.0,220.879908,151.653867033,852.961136446,759.79508535,48.3426,44.8234510959
 01/02  12:00:00,449.490904732,71.3212455389,0.0,0.0,220.879908,151.653867033,728.336808645,626.003823692,48.3426,53.9903849536
 01/02  13:00:00,448.490687644,71.3212455389,0.0,0.0,220.879908,151.653867033,652.222939745,558.733757394,48.3426,45.1465823512
 01/02  14:00:00,442.504034149,71.3212455389,0.0,0.0,220.879908,145.652643033,631.255349125,552.80161047,24.1713,54.2824386549
 01/02  15:00:00,442.522816813,71.3212455389,0.0,0.0,220.879908,145.652643033,646.791031196,577.840149878,24.1713,44.7795813182
 01/02  16:00:00,434.681673568,71.3212455389,0.0,0.0,220.879908,137.835547516,602.166502088,549.602649284,4.83426,47.7295928037
 01/02  17:00:00,444.601912681,71.3212455389,0.0,0.0,220.879908,133.019064,509.716481343,463.240222153,4.83426,41.6419991896
 01/02  18:00:00,368.286575272,71.3212455389,0.0,0.0,220.879908,53.238744,809.680281643,769.249725455,4.83426,35.596296188
 01/02  19:00:00,369.043445213,71.3212455389,0.0,0.0,220.879908,53.238744,923.033221598,873.536680064,4.83426,44.6622815333
 01/02  20:00:00,369.475317578,71.3212455389,0.0,0.0,220.879908,53.238744,896.673425237,883.14590848,4.83426,8.69325675781
 01/02  21:00:00,369.450104389,71.3212455389,0.0,0.0,220.879908,53.238744,906.008594053,892.49194244,4.83426,8.68239161261
 01/02  22:00:00,117.753644189,0.0,0.0,0.0,43.513341876,52.539744,13.5175348795,0.0,4.83426,8.68327487951
 01/02  23:00:00,117.538668293,0.0,0.0,0.0,43.513341876,52.539744,13.4797877342,0.0,4.83426,8.64552773419
 01/02  24:00:00,118.56966368,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  01:00:00,117.584456723,0.0,0.0,0.0,43.513341876,52.539744,13.4541487873,0.0,4.83426,8.61988878725
 01/03  02:00:00,117.587539158,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,118.551567122,0.96964432879,0.0,0.0,43.513341876,52.539744,5.06290318647,0.208643186468,4.83426,0.02
 01/03  04:00:00,118.858538223,1.29285910505,0.0,0.0,43.513341876,52.539744,13.8014258823,0.347415041255,4.83426,8.61975084109
 01/03  05:00:00,120.96568146,1.29285910505,0.0,0.0,43.513341876,52.539744,5.1855532407,0.331293240696,4.83426,0.02
 01/03  06:00:00,120.635174878,1.29285910505,0.0,0.0,43.513341876,52.539744,5.26605596921,0.411795969208,4.83426,0.02
 01/03  07:00:00,192.70113539,71.3212455389,0.0,0.0,43.513341876,53.238744,1475.46246286,1462.0082511,4.83426,8.61995176664
 01/03  08:00:00,368.33589154,71.3212455389,0.0,0.0,220.879908,53.238744,1003.85844725,981.437951586,4.83426,17.5862356599
 01/03  09:00:00,442.460541346,71.3212455389,0.00166863141081,0.0,220.879908,145.652643033,748.876109846,677.209481363,36.25695,35.409678483
 01/03  10:00:00,442.423135513,71.3212455389,0.0,0.0,220.879908,145.652643033,617.162255428,536.141479384,36.25695,44.7638260436
 01/03  11:00:00,448.391287228,71.3212455389,0.000989298738214,0.0,220.879908,151.653867033,514.342673856,421.173373789,48.3426,44.8267000665
 01/03  12:00:00,450.282569098,71.3212455389,0.812748146518,0.0,220.879908,151.653867033,367.581055475,274.243576256,48.3426,44.9948792189
 01/03  13:00:00,449.476635079,71.3212455389,1.01060060299,0.0,220.879908,151.653867033,392.805424975,290.277123941,48.3426,54.185701034
 01/03  14:00:00,442.426909909,71.3212455389,0.0,0.0,220.879908,145.652643033,429.744813161,351.293554846,24.1713,54.2799583154
 01/03  15:00:00,442.435315418,71.3212455389,0.0,0.0,220.879908,145.652643033,505.681468901,436.726287261,24.1713,44.7838816403
 01/03  16:00:00,434.724960186,71.3212455389,0.0,0.0,220.879908,137.835547516,651.092636291,601.399338593,4.83426,44.8590376973
 01/03  17:00:00,444.746613276,71.3212455389,0.0,0.0,220.879908,133.019064,616.187183386,566.861342163,4.83426,44.4915812233
 01/03  18:00:00,367.969399562,71.3212455389,0.0,0.0,220.879908,53.238744,667.412725846,626.978799498,4.83426,35.5996663482
 01/03  19:00:00,367.976747495,71.3212455389,0.0,0.0,220.879908,53.238744,674.559395211,625.058425448,4.83426,44.6667097626
 01/03  20:00:00,367.939323501,71.3212455389,0.0,0.0,220.879908,53.238744,633.666017758,620.137556111,4.83426,8.6942016472
 01/03  21:00:00,368.521326315,71.3212455389,0.0,0.0,220.879908,53.238744,840.164521666,826.64708773,4.83426,8.68317393615
