Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,37.5156753952,5.24442340937,1.70486436932,0.0,12.925468867,10.100111941,20.7038162731,20.6838162731,0.0,0.02
 01/01  02:00:00,37.4345996801,5.23200036975,1.62903464409,0.00837632860694,12.925468867,10.100111941,23.639120757,17.8793546339,0.0,5.75976612311
 01/01  03:00:00,32.4322180013,5.17508514955,1.21998482408,0.0909972553278,8.34152022915,10.0650221343,26.2635824095,20.5036695998,0.0,5.7599128097
 01/01  04:00:00,32.1252997659,5.12562398484,0.856378798975,0.197149702601,8.34152022915,10.0650221343,20.9803600088,20.9603600088,0.0,0.02
 01/01  05:00:00,33.7467857761,5.12427869228,0.845488986961,0.224171101569,8.34152022915,11.6705166398,25.564550256,19.7982890393,0.0,5.76626121667
 01/01  06:00:00,37.9889111793,5.13387679662,0.917832772707,0.225965764003,8.80141237637,15.3678112995,25.0216938812,19.2493838035,0.0,5.77231007766
 01/01  07:00:00,58.4256276639,5.20209379662,1.43960361069,0.095926708646,18.5082010057,25.6353820695,31.1392256435,19.5885230196,0.0,11.5507026238
 01/01  08:00:00,76.1824516269,5.37413667404,2.66512535735,0.0,19.4926561212,41.1001056674,32.0887985755,20.4743337816,0.0,11.6144647939
 01/01  09:00:00,94.5700747921,5.63992868202,4.5636468292,0.00161665733761,26.3286599382,57.9988325916,51.955774406,16.4115676806,0.0,35.5442067254
 01/01  10:00:00,78.1679862163,5.48487932824,3.59204680368,0.0,26.2443270014,42.8153538416,61.524434498,14.0451519189,18.025,29.4542825791
 01/01  11:00:00,53.0675379123,5.33129836353,2.51427317423,0.00576849076772,21.7447113004,23.4437158914,60.100468891,12.715008014,18.025,29.360460877
 01/01  12:00:00,50.985802097,5.38100317053,2.76888273199,0.0219181539168,19.3449162599,23.4437158914,51.2774889421,9.81659268487,18.025,23.4358962573
 01/01  13:00:00,51.1662358885,5.37829853549,2.82801751843,0.00392374698364,19.190480192,23.7425572507,49.4586234919,8.05388261931,18.025,23.3797408725
 01/01  14:00:00,51.2257150464,5.39196875495,2.85162511085,0.0,19.260583323,23.698576057,46.3930590351,4.99254422136,18.025,23.3755148137
 01/01  15:00:00,50.8757036922,5.34872980744,2.54485019601,0.0,19.260583323,23.698576057,44.2862006119,5.82501621025,18.025,20.4361844017
 01/01  16:00:00,49.9274354912,5.27458033861,1.96068646812,0.0,19.260583323,23.4086260847,47.5933391303,9.08720734114,18.025,20.4811317892
 01/01  17:00:00,59.7794127157,5.24152604193,1.74239042709,0.0,19.260583323,27.8781056672,34.6695472089,10.8786607339,18.025,5.76588647499
 01/01  18:00:00,71.0022264273,5.32267344002,2.37749610819,0.0,18.1807569449,37.5792895564,18.112309463,12.3398924888,0.0,5.77241697428
 01/01  19:00:00,86.1055921601,5.47284911332,3.43702261052,0.0,32.6059821062,37.0465235296,22.2835166218,16.5058233695,0.0,5.77769325227
 01/01  20:00:00,87.2269030486,5.59169348459,4.20823293417,0.0,36.8143715336,33.066984531,29.5942905033,18.0320017795,0.0,11.5622887237
 01/01  21:00:00,93.8551342056,5.76562425036,5.30303038287,0.0,36.43363367,38.8072253906,30.856375643,19.2956153945,0.0,11.5607602485
 01/01  22:00:00,91.4020556776,5.76474118887,5.20754841783,0.0,36.0963922311,36.7877557581,26.8562493262,21.0650828769,0.0,5.79116644936
 01/01  23:00:00,67.7184240272,5.46019316331,3.14824375932,0.0,30.9507766546,20.6087787026,42.2919035579,24.8799283957,0.0,17.4119751623
 01/01  24:00:00,43.6936242363,5.25625563788,1.76226186863,0.0,17.4250845679,11.7056064465,32.7586637058,26.9745443721,0.0,5.78411933367
 01/02  01:00:00,35.9205371434,5.20799185735,1.44898219054,0.0164903506489,11.6412384099,10.0650221343,31.8474517522,26.0812217994,0.0,5.76622995277
 01/02  02:00:00,34.1873950212,5.17660757894,1.2021911815,0.122308177648,10.0992000411,10.047477231,31.5541609041,25.7943033339,0.0,5.75985757023
 01/02  03:00:00,32.2507433206,5.1562140526,1.02943257297,0.238369412271,8.25718729233,10.0299323277,24.2677139934,24.2477139934,0.0,0.02
 01/02  04:00:00,32.2361514429,5.14474896111,0.920551809091,0.344122518156,8.25718729233,10.0299323277,29.1496906359,23.3899297478,0.0,5.75976088818
 01/02  05:00:00,33.8376083391,5.13372404643,0.812106550278,0.458350936211,8.25718729233,11.6354268332,29.4423070426,23.6768300049,0.0,5.76547703769
 01/02  06:00:00,41.5207584446,5.14842765992,0.929820497624,0.429148053773,12.1011305571,15.3678112995,27.9438152865,22.1585789048,0.0,5.78523638164
 01/02  07:00:00,72.8051460703,5.40616816726,2.83535551096,0.0215281914485,19.7275818095,37.2640762949,38.1619569508,20.7521101371,0.0,17.4098468137
 01/02  08:00:00,93.057215318,5.61961281493,4.27701762574,0.0140085121668,24.3117294858,51.2795993405,35.9948123056,18.5057198695,0.0,17.4890924361
 01/02  09:00:00,71.8979532205,5.29486742029,2.25886163557,0.00917348512297,23.6694662846,40.6342015617,42.8232157092,13.3624705438,0.0,29.4607451654
 01/02  10:00:00,66.6361348032,5.25475775898,2.03040056296,0.0235193913498,23.6694662846,35.6302164847,59.9511001429,12.568178722,18.025,29.3579214208
 01/02  11:00:00,48.2196668368,5.14526719754,1.18614985968,0.157663457686,18.7433767983,22.9618409725,53.2056647948,11.7425191937,18.025,23.4381456011
