Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  02:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  03:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  04:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  05:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  06:00:00,12.56968366,0,0,0,1.910119747,2.393563913,0,0,,
 01/02  07:00:00,23.45065861,9.532438012,0,1.348536936,1.910119747,2.393563913,158.5895245,158.5895245,,
 01/02  08:00:00,31.22255425,9.532438012,0,0.996509425,7.640478988,4.787127827,119.3356458,119.3356458,,
 01/02  09:00:00,39.25978858,9.532438012,0,0.871012735,19.10119747,8.377473697,102.2622715,102.2622715,,
 01/02  10:00:00,55.4168031,9.532438012,0,0.731172031,34.38215545,10.77103761,79.5964684,79.5964684,,
 01/02  11:00:00,55.27031275,9.532438012,0,0.584681683,34.38215545,10.77103761,66.40988172,66.40988172,,
 01/02  12:00:00,55.17587046,9.532438012,0,0.490239392,34.38215545,10.77103761,52.29405014,52.29405014,,
 01/02  13:00:00,55.00472351,9.532438012,0,0.319092441,34.38215545,10.77103761,44.53109007,44.53109007,,
 01/02  14:00:00,54.81036841,9.532438012,0,0.124737342,34.38215545,10.77103761,38.51146262,38.51146262,,
 01/02  15:00:00,54.73559449,9.532438012,0,0.049963416,34.38215545,10.77103761,37.35734205,37.35734205,,
 01/02  16:00:00,54.93779207,9.532438012,0,0.252161002,34.38215545,10.77103761,36.65183764,36.65183764,,
 01/02  17:00:00,61.94868482,9.532438012,0,0.374720419,34.38215545,10.77103761,40.72699839,40.72699839,,
 01/02  18:00:00,63.4363477,9.532438012,0,0.48471663,34.38215545,10.77103761,55.93771899,55.93771899,,
