Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  06:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  07:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,162.1681103,162.1681103,,
 01/02  08:00:00,29.52615552,7.14850634,0,0,7.297301534,3.595347648,125.0099768,125.0099768,,
 01/02  09:00:00,33.59778523,7.14850634,0,0,18.24325384,6.291858384,107.6900916,107.6900916,,
 01/02  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,84.62247018,84.62247018,,
 01/02  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,70.09601038,70.09601038,,
 01/02  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,54.34458069,54.34458069,,
 01/02  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,44.57570245,44.57570245,,
 01/02  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,36.62038693,36.62038693,,
 01/02  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,33.66096189,33.66096189,,
 01/02  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,33.32826118,33.32826118,,
 01/02  17:00:00,57.64672879,7.14850634,0,0,32.8378569,8.089532208,39.5836745,39.5836745,,
 01/02  18:00:00,59.56089545,7.14850634,0,0,32.8378569,8.089532208,57.29857702,57.29857702,,
 01/02  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,71.94729667,71.94729667,,
 01/02  20:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,83.5862433,83.5862433,,
 01/02  21:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,87.50030713,87.50030713,,
 01/02  22:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 01/02  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/02  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  06:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  07:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,170.2343027,170.2343027,,
 01/03  08:00:00,29.52615552,7.14850634,0,0,7.297301534,3.595347648,120.6347373,120.6347373,,
 01/03  09:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,94.45624367,94.45624367,,
 01/03  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,64.00335984,64.00335984,,
 01/03  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,49.12511595,49.12511595,,
 01/03  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,30.1501795,30.1501795,,
 01/03  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,28.25287204,28.25287204,,
 01/03  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,28.20080304,28.20080304,,
 01/03  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,32.28068386,32.28068386,,
 01/03  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,42.16110597,42.16110597,,
 01/03  17:00:00,57.64672879,7.14850634,0,0,32.8378569,8.089532208,51.08811025,51.08811025,,
 01/03  18:00:00,59.56089545,7.14850634,0,0,32.8378569,8.089532208,56.67326376,56.67326376,,
 01/03  19:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,60.44151405,60.44151405,,
 01/03  20:00:00,47.71610624,7.14850634,0,0,21.8919046,7.190695296,65.84563922,65.84563922,,
 01/03  21:00:00,43.16861856,7.14850634,0,0,18.24325384,6.291858384,77.99906394,77.99906394,,
 01/03  22:00:00,22.37764918,0,0,0,7.297301534,3.595347648,0,0,,
 01/03  23:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/03  24:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  01:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  02:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  03:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  04:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  05:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  06:00:00,15.10699921,0,0,0,1.824325384,1.797673824,0,0,,
 01/04  07:00:00,22.25550555,7.14850634,0,0,1.824325384,1.797673824,156.8808497,156.8808497,,
 01/04  08:00:00,29.52615552,7.14850634,0,0,7.297301534,3.595347648,121.3939531,121.3939531,,
 01/04  09:00:00,31.68361856,7.14850634,0,0,18.24325384,6.291858384,103.6246716,103.6246716,,
 01/04  10:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,81.56702346,81.56702346,,
 01/04  11:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,72.42038216,72.42038216,,
 01/04  12:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,60.3703324,60.3703324,,
 01/04  13:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,56.03209464,56.03209464,,
 01/04  14:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,53.45610297,53.45610297,,
 01/04  15:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,51.09936332,51.09936332,,
 01/04  16:00:00,48.07589545,7.14850634,0,0,32.8378569,8.089532208,48.50574372,48.50574372,,
 01/04  17:00:00,57.64672879,7.14850634,0,0,32.8378569,8.089532208,53.06342545,53.06342545,,
