Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,84.5006424243,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,84.7113241372,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,84.3004594559,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91556373746,0.0,1.75125,1.16431373746
 01/01  04:00:00,84.0860853241,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  05:00:00,90.6795285389,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,90.2344775543,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155427254,0.0,1.75125,1.1642927254
 01/01  07:00:00,127.719857842,24.2396408466,0.0,0.0,6.98738001645,14.1499734587,342.060467821,338.537967821,3.5025,0.02
 01/01  08:00:00,139.941497515,24.2396408466,0.0,0.0,6.98738001645,14.1499734587,328.804453914,325.281953914,3.5025,0.02
 01/01  09:00:00,159.917930597,24.2396408466,0.0,0.0,6.98738001645,14.1499734587,303.612688771,298.94581131,3.5025,1.16437746036
 01/01  10:00:00,134.207680247,24.2396408466,0.0,0.0,6.98738001645,14.1499734587,285.396612892,281.874112892,3.5025,0.02
 01/01  11:00:00,168.763416802,24.2396408466,0.0,0.0,27.9495200658,27.7759469175,245.188189963,237.018442541,7.005,1.16474742255
 01/01  12:00:00,199.579304363,24.2396408466,0.0,0.0,27.9495200658,27.7759469175,216.239300602,208.06955778,7.005,1.16474282235
 01/01  13:00:00,209.257705398,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,185.867999721,175.363108246,9.34,1.16489147455
 01/01  14:00:00,207.98040983,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,173.716557229,164.356557229,9.34,0.02
 01/01  15:00:00,204.186114406,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,175.476577432,164.97165164,9.34,1.16492579229
 01/01  16:00:00,200.539141938,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,184.145156728,173.640363562,9.34,1.16479316601
 01/01  17:00:00,209.816524447,24.2396408466,0.0,0.0,41.9242800987,36.8599292233,194.755530102,184.250626097,9.34,1.16490400478
 01/01  18:00:00,183.652809558,24.2396408466,0.0,0.0,27.9495200658,27.7759469175,231.386216551,223.2163031,7.005,1.16491345126
 01/01  19:00:00,187.777741194,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,256.523389468,250.688751608,4.67,1.16463786024
 01/01  20:00:00,168.436300188,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,267.111669624,262.421669624,4.67,0.02
 01/01  21:00:00,158.777495072,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,272.019780854,266.185208405,4.67,1.16457244866
 01/01  22:00:00,142.826280501,24.2396408466,0.0,0.0,13.9747600329,18.6919646116,238.331543684,233.641543684,4.67,0.02
 01/01  23:00:00,86.2242636426,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91565843993,0.0,1.75125,1.16440843993
 01/01  24:00:00,120.462803938,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,92.0082165134,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,85.1828670136,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49928291692,0.0,2.335,1.16428291692
 01/02  03:00:00,84.9325580694,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  04:00:00,84.7887995698,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,91.0394330211,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49925619282,0.0,2.335,1.16425619282
