Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Electricity:Facility [kW](Monthly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,17.38961495,1.973790676,0,0,5.481224596,1.011599678,64.28912121,64.28912121,,
 01/01  02:00:00,16.90982184,1.493997566,0,0,5.481224596,1.011599678,48.54859621,48.54859621,,
 01/01  03:00:00,17.38478924,1.968964969,0,0,5.481224596,1.011599678,64.25252141,64.25252141,,
 01/01  04:00:00,16.91722236,1.501398082,0,0,5.481224596,1.011599678,48.76487471,48.76487471,,
 01/01  05:00:00,17.36588386,1.950059587,0,0,5.481224596,1.011599678,63.57529452,63.57529452,,
 01/01  06:00:00,16.81044243,1.394618153,0,0,5.481224596,1.011599678,45.23441682,45.23441682,,
 01/01  07:00:00,17.31245347,1.896629193,0,0,5.481224596,1.011599678,61.79122964,61.79122964,,
 01/01  08:00:00,16.91420742,1.498383143,0,0,5.481224596,1.011599678,48.66074605,48.66074605,,
 01/01  09:00:00,10.08070071,2.100709772,0,0,5.481224596,1.011599678,68.70144993,68.70144993,,
 01/01  10:00:00,8.012287468,1.519463194,0,0,5.481224596,1.011599678,49.51946375,49.51946375,,
 01/01  11:00:00,8.279007487,1.786183212,0,0,5.481224596,1.011599678,58.58970631,58.58970631,,
 01/01  12:00:00,7.583320955,1.090496681,0,0,5.481224596,1.011599678,35.71474917,35.71474917,,
 01/01  13:00:00,7.669796883,1.176972608,0,0,5.481224596,1.011599678,38.64019297,38.64019297,,
 01/01  14:00:00,7.234676486,0.741852211,0,0,5.481224596,1.011599678,24.30481318,24.30481318,,
 01/01  15:00:00,7.481627449,0.988803175,0,0,5.481224596,1.011599678,32.38946933,32.38946933,,
 01/01  16:00:00,7.373622184,0.880797909,0,0,5.481224596,1.011599678,28.59229698,28.59229698,,
 01/01  17:00:00,15.4178156,1.489157995,0,0,5.481224596,1.011599678,48.49545861,48.49545861,,
 01/01  18:00:00,16.68121621,1.265391937,0,0,5.481224596,1.011599678,41.11778273,41.11778273,,
 01/01  19:00:00,17.25749147,1.841667198,0,0,5.481224596,1.011599678,60.13131413,60.13131413,,
 01/01  20:00:00,16.871424,1.45559973,0,0,5.481224596,1.011599678,47.35405103,47.35405103,,
 01/01  21:00:00,17.41915618,2.003331903,0,0,5.481224596,1.011599678,65.47961985,65.47961985,,
 01/01  22:00:00,16.96591544,1.550091165,0,0,5.481224596,1.011599678,50.43617494,50.43617494,,
 01/01  23:00:00,17.61083716,2.195012888,0,0,5.481224596,1.011599678,71.8502972,71.8502972,,
 01/01  24:00:00,17.15403675,1.738212473,0,0,5.481224596,1.011599678,56.64713246,56.64713246,,
 01/02  01:00:00,17.75501829,2.339194013,0,0,5.481224596,1.011599678,76.68518821,76.68518821,,
 01/02  02:00:00,17.16476065,1.748936374,0,0,5.481224596,1.011599678,56.97431197,56.97431197,,
 01/02  03:00:00,17.69601487,2.280190597,0,0,5.481224596,1.011599678,74.66909293,74.66909293,,
 01/02  04:00:00,17.06430903,1.648484754,0,0,5.481224596,1.011599678,53.62923517,53.62923517,,
 01/02  05:00:00,17.5461886,2.13036433,0,0,5.481224596,1.011599678,69.597865,69.597865,,
 01/02  06:00:00,16.96496357,1.5491393,0,0,5.481224596,1.011599678,50.32156165,50.32156165,,
 01/02  07:00:00,19.77836471,4.362540434,0,0,5.481224596,1.011599678,91.12914697,91.12914697,,
 01/02  08:00:00,40.26843721,4.362540434,0,0,21.92489839,5.05799839,73.36671749,73.36671749,,
 01/02  09:00:00,52.3110767,4.362540434,0,0,38.36857217,8.092797425,64.81971696,64.81971696,,
 01/02  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,58.1885386,58.1885386,,
 01/02  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,50.37783127,50.37783127,,
 01/02  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,42.72029644,42.72029644,,
 01/02  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,36.79313432,36.79313432,,
 01/02  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,27.86717533,27.86717533,,
 01/02  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,24.58221653,24.58221653,,
 01/02  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,28.48175944,28.48175944,,
 01/02  17:00:00,70.23379224,4.362540434,0,0,49.33102137,9.104397103,35.30095938,35.30095938,,
 01/02  18:00:00,30.43243399,1.019361489,0,0,16.44367379,4.046398712,34.40651898,34.40651898,,
 01/02  19:00:00,16.62248054,1.206656263,0,0,5.481224596,1.011599678,39.68695244,39.68695244,,
 01/02  20:00:00,17.17219789,1.756373613,0,0,5.481224596,1.011599678,58.40071429,58.40071429,,
 01/02  21:00:00,16.90455622,1.488731942,0,0,5.481224596,1.011599678,48.53806261,48.53806261,,
 01/02  22:00:00,17.3694085,1.953584224,0,0,5.481224596,1.011599678,64.83400514,64.83400514,,
 01/02  23:00:00,17.00190329,1.586079019,0,0,5.481224596,1.011599678,51.56914445,51.56914445,,
 01/02  24:00:00,17.40989724,1.994072962,0,0,5.481224596,1.011599678,66.07653294,66.07653294,,
 01/03  01:00:00,17.03557192,1.619747642,0,0,5.481224596,1.011599678,52.54166929,52.54166929,,
 01/03  02:00:00,17.43560357,2.019779295,0,0,5.481224596,1.011599678,66.83776739,66.83776739,,
 01/03  03:00:00,17.0465693,1.630745021,0,0,5.481224596,1.011599678,52.80798236,52.80798236,,
 01/03  04:00:00,17.48858234,2.072758061,0,0,5.481224596,1.011599678,68.54230579,68.54230579,,
 01/03  05:00:00,17.12907104,1.713246762,0,0,5.481224596,1.011599678,55.44648192,55.44648192,,
 01/03  06:00:00,17.56224789,2.146423619,0,0,5.481224596,1.011599678,70.98486444,70.98486444,,
 01/03  07:00:00,19.77836471,4.362540434,0,0,5.481224596,1.011599678,91.42965235,91.42965235,,
 01/03  08:00:00,40.26843721,4.362540434,0,0,21.92489839,5.05799839,74.61906887,74.61906887,,
 01/03  09:00:00,50.82391003,4.362540434,0,0,38.36857217,8.092797425,60.02156757,60.02156757,,
 01/03  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,47.5475208,47.5475208,,
 01/03  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,38.89791547,38.89791547,,
 01/03  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,30.99505404,30.99505404,,
 01/03  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,29.04927263,29.04927263,,
 01/03  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,26.3991389,26.3991389,,
 01/03  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,26.89028257,26.89028257,,
 01/03  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,33.44322651,33.44322651,,
 01/03  17:00:00,70.23379224,4.362540434,0,0,49.33102137,9.104397103,41.1790724,41.1790724,,
 01/03  18:00:00,30.41009405,0.997021553,0,0,16.44367379,4.046398712,33.64458029,33.64458029,,
 01/03  19:00:00,16.47132078,1.055496509,0,0,5.481224596,1.011599678,34.67959615,34.67959615,,
 01/03  20:00:00,16.82227833,1.406454051,0,0,5.481224596,1.011599678,46.69636254,46.69636254,,
 01/03  21:00:00,16.62162387,1.205799594,0,0,5.481224596,1.011599678,39.24504097,39.24504097,,
 01/03  22:00:00,17.16227714,1.746452863,0,0,5.481224596,1.011599678,57.79710492,57.79710492,,
 01/03  23:00:00,16.84178066,1.425956388,0,0,5.481224596,1.011599678,46.25357689,46.25357689,,
 01/03  24:00:00,17.123844,1.708019724,0,0,5.481224596,1.011599678,56.44705559,56.44705559,,
 01/04  01:00:00,16.79057238,1.37474811,0,0,5.481224596,1.011599678,44.49029107,44.49029107,,
 01/04  02:00:00,17.14523466,1.729410382,0,0,5.481224596,1.011599678,57.09206628,57.09206628,,
 01/04  03:00:00,16.81127334,1.395449061,0,0,5.481224596,1.011599678,45.12606954,45.12606954,,
 01/04  04:00:00,17.21486129,1.799037018,0,0,5.481224596,1.011599678,59.33203923,59.33203923,,
 01/04  05:00:00,16.87356545,1.457741171,0,0,5.481224596,1.011599678,47.04568377,47.04568377,,
 01/04  06:00:00,17.21995267,1.804128391,0,0,5.481224596,1.011599678,59.4530294,59.4530294,,
 01/04  07:00:00,19.77836471,4.362540434,0,0,5.481224596,1.011599678,81.89120912,81.89120912,,
 01/04  08:00:00,40.26843721,4.362540434,0,0,21.92489839,5.05799839,71.09610535,71.09610535,,
 01/04  09:00:00,50.82391003,4.362540434,0,0,38.36857217,8.092797425,62.1766502,62.1766502,,
 01/04  10:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,56.0897119,56.0897119,,
 01/04  11:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,49.94402427,49.94402427,,
 01/04  12:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,45.3930826,45.3930826,,
 01/04  13:00:00,56.30513463,4.362540434,0,0,43.84979677,8.092797425,44.0372231,44.0372231,,
 01/04  14:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,40.5921075,40.5921075,,
 01/04  15:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,38.32784712,38.32784712,,
 01/04  16:00:00,62.7979589,4.362540434,0,0,49.33102137,9.104397103,42.08202349,42.08202349,,
 01/04  17:00:00,70.23379224,4.362540434,0,0,49.33102137,9.104397103,44.52393769,44.52393769,,
 01/04  18:00:00,30.32621354,0.913141035,0,0,16.44367379,4.046398712,30.8747326,30.8747326,,
 01/04  19:00:00,16.17446471,0.75864044,0,0,5.481224596,1.011599678,25.27751436,25.27751436,,
