Hour_number,Date,HE,Datetime,SH_Demand_R_GW,SH_Demand_C_GW,SH_Demand_Total_GW
0,2016-01-01 00:00:00,1,2016-01-01 00:00:00,2.963327310113816,0.5568675903903271,3.5201949005041433
1,2016-01-01 00:00:00,2,2016-01-01 01:00:00,2.9022017924663563,0.39226630861358647,3.2944681010799433
2,2016-01-01 00:00:00,3,2016-01-01 02:00:00,2.881948128199671,0.4775014798435438,3.3594496080432146
3,2016-01-01 00:00:00,4,2016-01-01 03:00:00,2.864322421465518,0.4009785199030264,3.2653009413685443
4,2016-01-01 00:00:00,5,2016-01-01 04:00:00,2.925362504873232,0.49683800929060584,3.422200514163838
5,2016-01-01 00:00:00,6,2016-01-01 05:00:00,2.9851142446582872,0.6230173892063411,3.6081316338646285
6,2016-01-01 00:00:00,7,2016-01-01 06:00:00,3.1011560862685266,1.913256833951157,5.014412920219684
7,2016-01-01 00:00:00,8,2016-01-01 07:00:00,3.084687850307599,1.565583036471403,4.650270886779002
8,2016-01-01 00:00:00,9,2016-01-01 08:00:00,3.1304347140044944,1.4977479174310375,4.628182631435532
9,2016-01-01 00:00:00,10,2016-01-01 09:00:00,3.280336575432609,1.2443396026588494,4.524676178091458
10,2016-01-01 00:00:00,11,2016-01-01 10:00:00,3.34226389164333,1.1272792252002366,4.469543116843567
11,2016-01-01 00:00:00,12,2016-01-01 11:00:00,3.18188892320467,0.8904061290271107,4.07229505223178
12,2016-01-01 00:00:00,13,2016-01-01 12:00:00,2.8725609566951027,0.7894149876142136,3.661975944309316
13,2016-01-01 00:00:00,14,2016-01-01 13:00:00,2.8018478203639976,0.6859041682702699,3.4877519886342676
14,2016-01-01 00:00:00,15,2016-01-01 14:00:00,2.7715593838614554,0.7075563126633819,3.4791156965248375
15,2016-01-01 00:00:00,16,2016-01-01 15:00:00,2.7108732433900102,0.7251272828457274,3.4360005262357376
16,2016-01-01 00:00:00,17,2016-01-01 16:00:00,2.937372983701625,0.8554523070044491,3.7928252907060744
17,2016-01-01 00:00:00,18,2016-01-01 17:00:00,3.160107563969864,0.9780086581867664,4.138116222156631
18,2016-01-01 00:00:00,19,2016-01-01 18:00:00,3.1265386805934208,1.1218314095540511,4.248370090147472
19,2016-01-01 00:00:00,20,2016-01-01 19:00:00,3.0879557636614643,1.1733296771897814,4.261285440851245
20,2016-01-01 00:00:00,21,2016-01-01 20:00:00,3.2603134098739317,1.2836607022116497,4.543974112085581
21,2016-01-01 00:00:00,22,2016-01-01 21:00:00,3.0740555518202073,0.5811516867679897,3.6552072385881966
22,2016-01-01 00:00:00,23,2016-01-01 22:00:00,3.062674020716372,0.5982616665179402,3.6609356872343124
23,2016-01-01 00:00:00,24,2016-01-01 23:00:00,2.9084542617001983,0.6066871121262071,3.5151413738264052
24,2016-01-02 00:00:00,1,2016-01-02 00:00:00,2.8529003733582026,0.6002626211993732,3.453162994557576
25,2016-01-02 00:00:00,2,2016-01-02 01:00:00,2.822497143141946,0.4580050566314977,3.280502199773444
26,2016-01-02 00:00:00,3,2016-01-02 02:00:00,2.8987928897528192,0.48449059578562725,3.3832834855384464
27,2016-01-02 00:00:00,4,2016-01-02 03:00:00,2.843702323931196,0.44906379116289974,3.2927661150940954
28,2016-01-02 00:00:00,5,2016-01-02 04:00:00,3.0058177489842057,0.5134810804781329,3.519298829462339
29,2016-01-02 00:00:00,6,2016-01-02 05:00:00,2.9623621786273375,0.7400958862910629,3.7024580649184
30,2016-01-02 00:00:00,7,2016-01-02 06:00:00,3.047128730601609,3.2711167807502344,6.318245511351843
31,2016-01-02 00:00:00,8,2016-01-02 07:00:00,3.108971696435029,2.4735229900308093,5.5824946864658385
32,2016-01-02 00:00:00,9,2016-01-02 08:00:00,3.1840555319383013,1.9753647495510231,5.159420281489324
33,2016-01-02 00:00:00,10,2016-01-02 09:00:00,3.3972801280645797,1.6216246119302724,5.018904739994852
34,2016-01-02 00:00:00,11,2016-01-02 10:00:00,3.334884987348237,1.3397980482175795,4.674683035565817
35,2016-01-02 00:00:00,12,2016-01-02 11:00:00,3.289388534747214,1.059957670205695,4.3493462049529095
36,2016-01-02 00:00:00,13,2016-01-02 12:00:00,3.323274364795492,0.9694818722487865,4.292756237044278
37,2016-01-02 00:00:00,14,2016-01-02 13:00:00,3.1291318724690886,0.9191146874591171,4.048246559928206
38,2016-01-02 00:00:00,15,2016-01-02 14:00:00,3.044695422603289,0.9632775151470497,4.007972937750338
39,2016-01-02 00:00:00,16,2016-01-02 15:00:00,2.963407331433233,1.0625151859414272,4.02592251737466
40,2016-01-02 00:00:00,17,2016-01-02 16:00:00,3.2448971854225914,1.1159528140966795,4.360849999519271
41,2016-01-02 00:00:00,18,2016-01-02 17:00:00,3.2403707291353023,1.3795122208569597,4.619882949992262
42,2016-01-02 00:00:00,19,2016-01-02 18:00:00,3.1782390608002182,1.4722318236955183,4.6504708844957365
43,2016-01-02 00:00:00,20,2016-01-02 19:00:00,3.1429699332465106,1.5939427626206255,4.736912695867136
44,2016-01-02 00:00:00,21,2016-01-02 20:00:00,3.1818831322972416,1.7052200006193527,4.887103132916595
45,2016-01-02 00:00:00,22,2016-01-02 21:00:00,3.135530553952851,0.7228262630098252,3.858356816962676
46,2016-01-02 00:00:00,23,2016-01-02 22:00:00,3.13414364328466,0.4868442754897341,3.6209879187743943
47,2016-01-02 00:00:00,24,2016-01-02 23:00:00,2.997891380824545,0.5726913194955693,3.5705827003201147
48,2016-01-03 00:00:00,1,2016-01-03 00:00:00,2.841615255913634,0.47678246099287996,3.318397716906514
49,2016-01-03 00:00:00,2,2016-01-03 01:00:00,2.901854371707792,0.4507532520961847,3.3526076238039764
50,2016-01-03 00:00:00,3,2016-01-03 02:00:00,2.8962230529189834,0.37866654415385914,3.2748895970728427
51,2016-01-03 00:00:00,4,2016-01-03 03:00:00,2.8611455599859443,0.4593783777073609,3.320523937693305
52,2016-01-03 00:00:00,5,2016-01-03 04:00:00,2.976675970543567,0.43629759586845585,3.412973566412023
53,2016-01-03 00:00:00,6,2016-01-03 05:00:00,3.0236501440033723,0.7515126924451625,3.775162836448535
54,2016-01-03 00:00:00,7,2016-01-03 06:00:00,3.066815824170609,2.890647072901164,5.957462897071773
55,2016-01-03 00:00:00,8,2016-01-03 07:00:00,3.146159925458813,2.20394441365276,5.3501043391115735
56,2016-01-03 00:00:00,9,2016-01-03 08:00:00,3.271267514620453,1.7362862727668353,5.007553787387288
57,2016-01-03 00:00:00,10,2016-01-03 09:00:00,3.167090723894639,1.4121233724357982,4.579214096330436
58,2016-01-03 00:00:00,11,2016-01-03 10:00:00,3.306740907402956,1.2278333653417826,4.534574272744739
59,2016-01-03 00:00:00,12,2016-01-03 11:00:00,3.253088725868906,0.9966262298571574,4.249714955726064
60,2016-01-03 00:00:00,13,2016-01-03 12:00:00,3.0162332307562996,0.9691277613631653,3.985360992119465
61,2016-01-03 00:00:00,14,2016-01-03 13:00:00,2.9893273100819715,0.9715236348649426,3.9608509449469143
62,2016-01-03 00:00:00,15,2016-01-03 14:00:00,2.9457242466724805,1.0261439376489887,3.9718681843214694
63,2016-01-03 00:00:00,16,2016-01-03 15:00:00,3.052943479548949,1.1772082598499758,4.2301517393989245
64,2016-01-03 00:00:00,17,2016-01-03 16:00:00,3.1029190780313156,1.244282358716707,4.347201436748023
65,2016-01-03 00:00:00,18,2016-01-03 17:00:00,3.2076879743143656,1.1603026140161163,4.367990588330482
66,2016-01-03 00:00:00,19,2016-01-03 18:00:00,3.1367032160758406,1.0712596578488147,4.2079628739246555
67,2016-01-03 00:00:00,20,2016-01-03 19:00:00,3.048002857203042,1.122850678519831,4.170853535722872
68,2016-01-03 00:00:00,21,2016-01-03 20:00:00,3.0523791513789127,1.2844183512765643,4.336797502655477
69,2016-01-03 00:00:00,22,2016-01-03 21:00:00,2.9324392962442034,0.658877072666275,3.591316368910478
