Hour_Number,Date,Hour_Ending,Datetime,UNIFORM-Scenario_Electric_Vehicle_Demand_GW,PEAK-Scenario_Electric_Vehicle_Demand_GW
0,2016-01-01 00:00:00,1,2016-01-01 00:00:00,1.646681364075648,1.6717577557711079
1,2016-01-01 00:00:00,2,2016-01-01 01:00:00,1.646681364075648,1.6717577557711079
2,2016-01-01 00:00:00,3,2016-01-01 02:00:00,1.646681364075648,1.6717577557711079
3,2016-01-01 00:00:00,4,2016-01-01 03:00:00,1.646681364075648,1.6717577557711079
4,2016-01-01 00:00:00,5,2016-01-01 04:00:00,1.646681364075648,1.671757479128638
5,2016-01-01 00:00:00,6,2016-01-01 05:00:00,1.646681364075648,0.8693140646172586
6,2016-01-01 00:00:00,7,2016-01-01 06:00:00,1.646681364075648,0.8693137879747886
7,2016-01-01 00:00:00,8,2016-01-01 07:00:00,1.646681364075648,0.8693137879747886
8,2016-01-01 00:00:00,9,2016-01-01 08:00:00,1.646681364075648,0.8693140646172586
9,2016-01-01 00:00:00,10,2016-01-01 09:00:00,1.646681364075648,0.8693140646172586
10,2016-01-01 00:00:00,11,2016-01-01 10:00:00,1.646681364075648,0.8693140646172586
11,2016-01-01 00:00:00,12,2016-01-01 11:00:00,1.646681364075648,0.8693140646172586
12,2016-01-01 00:00:00,13,2016-01-01 12:00:00,1.646681364075648,0.8693140646172586
13,2016-01-01 00:00:00,14,2016-01-01 13:00:00,1.646681364075648,0.8693140646172586
14,2016-01-01 00:00:00,15,2016-01-01 14:00:00,1.646681364075648,0.8693140646172586
15,2016-01-01 00:00:00,16,2016-01-01 15:00:00,1.646681364075648,0.8693137879747886
16,2016-01-01 00:00:00,17,2016-01-01 16:00:00,1.646681364075648,0.8693137879747886
17,2016-01-01 00:00:00,18,2016-01-01 17:00:00,1.646681364075648,4.012218534809953
18,2016-01-01 00:00:00,19,2016-01-01 18:00:00,1.646681364075648,4.012218534809953
19,2016-01-01 00:00:00,20,2016-01-01 19:00:00,1.646681364075648,2.5410718994290717
20,2016-01-01 00:00:00,21,2016-01-01 20:00:00,1.646681364075648,2.5410718994290717
21,2016-01-01 00:00:00,22,2016-01-01 21:00:00,1.646681364075648,2.5410718994290717
22,2016-01-01 00:00:00,23,2016-01-01 22:00:00,1.646681364075648,2.5410718994290717
23,2016-01-01 00:00:00,24,2016-01-01 23:00:00,1.646681364075648,2.5410718994290717
24,2016-01-02 00:00:00,1,2016-01-02 00:00:00,1.646681364075648,1.6717577557711079
25,2016-01-02 00:00:00,2,2016-01-02 01:00:00,1.646681364075648,1.6717577557711079
26,2016-01-02 00:00:00,3,2016-01-02 02:00:00,1.646681364075648,1.6717577557711079
27,2016-01-02 00:00:00,4,2016-01-02 03:00:00,1.646681364075648,1.6717577557711079
28,2016-01-02 00:00:00,5,2016-01-02 04:00:00,1.646681364075648,1.671757479128638
29,2016-01-02 00:00:00,6,2016-01-02 05:00:00,1.646681364075648,0.8693140646172586
30,2016-01-02 00:00:00,7,2016-01-02 06:00:00,1.646681364075648,0.8693137879747886
31,2016-01-02 00:00:00,8,2016-01-02 07:00:00,1.646681364075648,0.8693137879747886
32,2016-01-02 00:00:00,9,2016-01-02 08:00:00,1.646681364075648,0.8693140646172586
33,2016-01-02 00:00:00,10,2016-01-02 09:00:00,1.646681364075648,0.8693140646172586
34,2016-01-02 00:00:00,11,2016-01-02 10:00:00,1.646681364075648,0.8693140646172586
35,2016-01-02 00:00:00,12,2016-01-02 11:00:00,1.646681364075648,0.8693140646172586
36,2016-01-02 00:00:00,13,2016-01-02 12:00:00,1.646681364075648,0.8693140646172586
37,2016-01-02 00:00:00,14,2016-01-02 13:00:00,1.646681364075648,0.8693140646172586
